AREA,SUB AREA,AGE GROUP,SEASON,WEEK,THRESHOLD,BASELINE,PERCENT I,PERCENT P&I,PERCENT PIC,NUM INFLUENZA DEATHS,NUM PNEUMONIA DEATHS,NUM COVID-19 DEATHS,TOTAL PIC,TOTAL DEATHS,PERCENT COMPLETE
National,,All,2022-23,42,6.1,5.7,,6.5,8.9,57,"3,833","2,265","5,350","60,074",> 100%
National,,All,2022-23,43,6.2,5.8,,6.3,8.7,96,"3,665","2,243","5,240","60,005",> 100%
National,,All,2022-23,44,6.3,5.9,,6.5,8.9,156,"3,779","2,266","5,410","61,003",> 100%
National,,All,2022-23,45,6.4,6,,6.7,9.1,229,"3,858","2,216","5,579","61,028",> 100%
National,,All,2022-23,46,6.6,6.1,,6.8,9.3,258,"3,953","2,282","5,720","61,604",> 100%
National,,All,2022-23,47,6.7,6.2,,7.3,9.8,430,"4,310","2,516","6,361","64,600",> 100%
National,,All,2022-23,48,6.8,6.4,,8.4,10.9,851,"4,652","2,611","7,158","65,755",> 100%
National,,All,2022-23,49,6.9,6.5,,9,11.8,"1,029","4,975","3,051","7,913","66,993",> 100%
National,,All,2022-23,50,7,6.6,,9,12.1,"1,050","4,944","3,218","8,006","66,378",> 100%
National,,All,2022-23,51,7.1,6.7,,8.8,11.8,953,"4,995","3,387","8,032","67,942",> 100%
National,,All,2022-23,52,7.2,6.8,,9.2,12.5,995,"5,429","3,688","8,743","70,161",> 100%
National,,All,2022-23,1,7.3,6.8,,9.3,12.7,886,"5,518","3,871","8,778","68,969",> 100%
National,,All,2022-23,2,7.3,6.9,,8.8,12.1,628,"5,189","3,688","8,057","66,346",> 100%
National,,All,2022-23,3,7.4,6.9,,8.4,11.5,388,"5,014","3,258","7,356","64,168",> 100%
National,,All,2022-23,4,7.4,7,,7.8,10.7,273,"4,605","2,914","6,688","62,450",> 100%
National,,All,2022-23,5,7.4,7,,7.4,10,145,"4,476","2,642","6,291","62,739",> 100%
National,,All,2022-23,6,7.4,7,,7.1,9.4,114,"4,369","2,347","5,930","62,858",> 100%
National,,All,2022-23,7,7.4,7,,6.8,9,118,"4,109","2,101","5,547","61,742",> 100%
National,,All,2022-23,8,7.4,7,,6.8,8.9,77,"4,137","2,154","5,544","62,044",> 100%
National,,All,2022-23,9,7.4,6.9,,6.6,8.7,66,"4,006","1,999","5,336","61,319",> 100%
National,,All,2022-23,10,7.3,6.9,,6.6,8.5,54,"3,938","1,849","5,170","60,709",> 100%
National,,All,2022-23,11,7.3,6.8,,6.4,8.3,55,"3,842","1,761","5,065","61,001",> 100%
National,,All,2022-23,12,7.2,6.7,,6.5,8.3,53,"3,918","1,668","5,034","60,733",> 100%
National,,All,2022-23,13,7.1,6.7,,6.2,7.7,45,"3,674","1,449","4,641","60,101",> 100%
National,,All,2022-23,14,7,6.6,,6.3,7.8,46,"3,679","1,373","4,608","59,014",> 100%
National,,All,2022-23,15,6.9,6.5,,6.1,7.4,42,"3,592","1,217","4,421","59,610",> 100%
National,,All,2022-23,16,6.8,6.4,,6.4,7.7,34,"3,720","1,197","4,511","58,398",> 100%
National,,All,2022-23,17,6.7,6.2,,6.2,7.3,41,"3,512","1,028","4,197","57,746",> 100%
National,,All,2022-23,18,6.6,6.1,,5.8,6.9,36,"3,353",946,"3,990","58,017",> 100%
National,,All,2022-23,19,6.4,6,,5.9,6.8,37,"3,366",838,"3,936","57,790",> 100%
National,,All,2022-23,20,6.3,5.9,,5.8,6.6,33,"3,226",759,"3,728","56,621",> 100%
National,,All,2022-23,21,6.2,5.8,,5.9,6.7,34,"3,252",742,"3,747","55,741",> 100%
National,,All,2022-23,22,6.1,5.7,,5.6,6.5,41,"3,160",693,"3,664","56,800",> 100%
National,,All,2022-23,23,6,5.6,,5.7,6.4,29,"3,180",633,"3,627","56,279",> 100%
National,,All,2022-23,24,5.9,5.5,,5.3,6,29,"2,957",612,"3,379","56,301",> 100%
National,,All,2022-23,25,5.8,5.4,,5.6,6.3,29,"3,102",583,"3,490","55,804",> 100%
National,,All,2022-23,26,5.7,5.3,,5.2,5.8,23,"2,870",542,"3,253","55,720",> 100%
National,,All,2022-23,27,5.7,5.2,,5.3,5.9,33,"2,939",493,"3,283","55,972",> 100%
National,,All,2022-23,28,5.6,5.2,,5.2,5.8,22,"2,871",510,"3,221","55,606",> 100%
National,,All,2022-23,29,5.6,5.1,,5,5.7,16,"2,776",540,"3,158","55,729",> 100%
National,,All,2022-23,30,5.5,5.1,,5.1,5.7,12,"2,837",553,"3,196","55,688",> 100%
National,,All,2022-23,31,5.5,5.1,,5.3,6,28,"2,930",673,"3,367","56,100",> 100%
National,,All,2022-23,32,5.5,5.1,,5.3,6.1,19,"2,964",751,"3,449","56,648",> 100%
